사업장명,소재지전체주소
대한항공 정우회 경로당,서울특별시 강서구 방화동 246-36번지 
마곡수명산파크 6단지(아) 경로당,서울특별시 강서구 내발산동 759번지 마곡수명산파크 6단지 
마곡수명산파크 2단지(아) 경로당,서울특별시 강서구 내발산동 741번지 마곡수명산파크 2단지 
극동상록수아파트,서울특별시 강서구 염창동 280번지 
장미,서울특별시 강서구 공항동 668번지 
마곡수명산파크 4단지(아)  경로당,서울특별시 강서구 내발산동 753번지 마곡수명산파크 4단지 
우장산 아이파크 e-편한세상(아),서울특별시 강서구 화곡동 1159번지 
우성1차아파트경로당,서울특별시 강서구 염창동 66-9번지 
마곡수명산파크 1단지(아),서울특별시 강서구 내발산동 
마곡수명산파크 3단지(아) 경로당,서울특별시 강서구 내발산동 751번지 마곡수명산파크 3단지 
삼형그레이스빌(아) 경로당,서울특별시 강서구 등촌동 564-7번지 
아리수 경로당,서울특별시 강서구 염창동 297번지 
벽산늘푸른아파트 경로당,서울특별시 강서구 염창동 290번지 
마곡푸르지오경로당,서울특별시 강서구 방화동 890번지 
우장산SK뷰(아),서울특별시 강서구 화곡동 1158번지 
보람더하임(아),서울특별시 강서구 염창동 305번지 
마곡수명산파크 1단지(아)경로당,서울특별시 강서구 내발산동 742번지 마곡수명산파크1단지아파트 
강변성원(아)경로당,서울특별시 강서구 염창동 295번지 
강변코아루아파트 경로당,서울특별시 강서구 염창동 303번지 
마곡수명산파크 5단지(아)경로당,서울특별시 강서구 내발산동 749번지 마곡수명산파크 5단지 
마곡수명산파크 7단지(아) 경로당,서울특별시 강서구 내발산동 
강서센트레빌4차경로당,서울특별시 강서구 공항동 1374번지 
등촌10단지아파트경로당,서울특별시 강서구 등촌동 702번지 
능말경로당,서울특별시 강서구 방화동 811-15번지 
한사랑2차삼성아파트 경로당,서울특별시 강서구 등촌동 634-3번지 
강나루2차현대아파트 경로당,서울특별시 강서구 가양동 448번지 강나루2차현대아파트 
염창한강동아아파트경로당,서울특별시 강서구 염창동 293번지 
염창강변경로당,서울특별시 강서구 염창동 114-2번지 
태영아파트경로당,서울특별시 강서구 등촌동 632-2번지 
방화진로아파트경로당,서울특별시 강서구 방화동 804번지 
방화구립경로당,서울특별시 강서구 방화동 262-7번지 
등서경로당,서울특별시 강서구 등촌동 
염창삼성하나로아파트경로당,서울특별시 강서구 염창동 248-3번지 
서광아파트경로당,서울특별시 강서구 방화동 860번지 
마곡 금호어울림아파트 경로당,서울특별시 강서구 마곡동 
가양보람아파트경로당,서울특별시 강서구 가양동 가양보람아파트 
가양보람아파트경로당,서울특별시 강서구 가양동 가양보람아파트 
강변월드메르디앙경로당,서울특별시 강서구 염창동 
강나루현대아파트경로당,서울특별시 강서구 가양동 448-1번지 강나루현대아파트 
등촌동 아이파크2단지경로당,서울특별시 강서구 등촌동 715번지 등촌I-PARK아파트 202동 
마곡엠밸리7단지아파트경로당,서울특별시 강서구 마곡동 706동동 
민들레경로당,서울특별시 강서구 화곡동 
마곡엠밸리3단지 경로당,서울특별시 강서구 마곡동 
마곡엠밸리6단지경로당,서울특별시 강서구 마곡동 
